date,value,item,name
20180123,3672.29,level,STOXX50E
20180124,3643.22,level,STOXX50E
20180125,3630.15,level,STOXX50E
20180126,3647.41,level,STOXX50E
20180129,3643.04,level,STOXX50E
20180130,3606.75,level,STOXX50E
20180131,3609.29,level,STOXX50E
20180201,3577.35,level,STOXX50E
20180202,3523.28,level,STOXX50E
20180205,3478.77,level,STOXX50E
20180206,3394.92,level,STOXX50E
20180207,3454.52,level,STOXX50E
20180208,3377.3,level,STOXX50E
20180209,3325.99,level,STOXX50E
20180212,3368.25,level,STOXX50E
20180213,3340.93,level,STOXX50E
20180214,3369.83,level,STOXX50E
20180215,3389.63,level,STOXX50E
20180216,3426.8,level,STOXX50E
20180219,3407.79,level,STOXX50E
20180220,3435.08,level,STOXX50E
20180221,3430.16,level,STOXX50E
20180222,3431.99,level,STOXX50E
20180223,3441.46,level,STOXX50E
20180226,3463.18,level,STOXX50E
20180227,3458.03,level,STOXX50E
20180228,3438.96,level,STOXX50E
20180301,3399.16,level,STOXX50E
20180302,3324.75,level,STOXX50E
20180305,3355.32,level,STOXX50E
20180306,3357.86,level,STOXX50E
20180307,3377.36,level,STOXX50E
20180308,3413.28,level,STOXX50E
20180309,3420.54,level,STOXX50E
20180312,3429.48,level,STOXX50E
20180313,3397.35,level,STOXX50E
20180314,3390.98,level,STOXX50E
20180315,3414.13,level,STOXX50E
20180316,3437.4,level,STOXX50E
20180319,3394.79,level,STOXX50E
20180320,3412.08,level,STOXX50E
20180321,3401.04,level,STOXX50E
20180322,3348.19,level,STOXX50E
20180323,3298.07,level,STOXX50E
20180326,3278.72,level,STOXX50E
20180327,3316.95,level,STOXX50E
20180328,3331.25,level,STOXX50E
20180329,3361.5,level,STOXX50E
20180403,3346.93,level,STOXX50E
20180404,3340.35,level,STOXX50E
20180405,3429.95,level,STOXX50E
20180406,3408.1,level,STOXX50E
20180409,3414.85,level,STOXX50E
20180410,3438.78,level,STOXX50E
20180411,3419.71,level,STOXX50E
20180412,3443.97,level,STOXX50E
20180413,3448.0,level,STOXX50E
20180416,3441.04,level,STOXX50E
20180417,3477.91,level,STOXX50E
20180418,3490.89,level,STOXX50E
20180419,3486.6,level,STOXX50E
20180420,3494.2,level,STOXX50E
20180423,3513.06,level,STOXX50E
20180424,3510.88,level,STOXX50E
20180425,3485.83,level,STOXX50E
20180426,3506.03,level,STOXX50E
20180427,3518.78,level,STOXX50E
20180430,3536.52,level,STOXX50E
20180501,3536.26,level,STOXX50E
20180502,3553.79,level,STOXX50E
20180503,3529.12,level,STOXX50E
20180504,3550.59,level,STOXX50E
20180507,3564.19,level,STOXX50E
20180508,3557.88,level,STOXX50E
20180509,3569.74,level,STOXX50E
20180510,3569.71,level,STOXX50E
20180511,3565.52,level,STOXX50E
20180514,3565.74,level,STOXX50E
20180515,3564.29,level,STOXX50E
20180516,3562.85,level,STOXX50E
20180517,3592.18,level,STOXX50E
20180518,3573.76,level,STOXX50E
